"Step","wo_DTR_for_eval - train_loss","wo_DTR_for_eval - train_loss__MIN","wo_DTR_for_eval - train_loss__MAX","DTR_0.8_wo_for_eval - train_loss","DTR_0.8_wo_for_eval - train_loss__MIN","DTR_0.8_wo_for_eval - train_loss__MAX","DTR_0.6_wo_for_eval - train_loss","DTR_0.6_wo_for_eval - train_loss__MIN","DTR_0.6_wo_for_eval - train_loss__MAX"
"1","0.918958130383511","0.918958130383511","0.918958130383511","0.9373901467327215","0.9373901467327215","0.9373901467327215","0.9226264484208367","0.9226264484208367","0.9226264484208367"
"2","0.8715134355452727","0.8715134355452727","0.8715134355452727","0.8900843456790914","0.8900843456790914","0.8900843456790914","0.8934653628742822","0.8934653628742822","0.8934653628742822"
"3","0.8274888624609055","0.8274888624609055","0.8274888624609055","0.8298447994642125","0.8298447994642125","0.8298447994642125","0.8369963773456727","0.8369963773456727","0.8369963773456727"
"4","0.808491156862054","0.808491156862054","0.808491156862054","0.8137978107054963","0.8137978107054963","0.8137978107054963","0.8158304466391509","0.8158304466391509","0.8158304466391509"
"5","0.7966888903398021","0.7966888903398021","0.7966888903398021","0.7899276069972826","0.7899276069972826","0.7899276069972826","0.7950986716667094","0.7950986716667094","0.7950986716667094"
"6","0.7804140837296195","0.7804140837296195","0.7804140837296195","0.783165121978184","0.783165121978184","0.783165121978184","0.7820967313595929","0.7820967313595929","0.7820967313595929"
"7","0.7687223714526508","0.7687223714526508","0.7687223714526508","0.7740701827189295","0.7740701827189295","0.7740701827189295","0.7727391756979337","0.7727391756979337","0.7727391756979337"
"8","0.7671400638170375","0.7671400638170375","0.7671400638170375","0.7689161918708983","0.7689161918708983","0.7689161918708983","0.7708467353651814","0.7708467353651814","0.7708467353651814"
"9","0.7550826413011433","0.7550826413011433","0.7550826413011433","0.7631321720063833","0.7631321720063833","0.7631321720063833","0.7606145594333213","0.7606145594333213","0.7606145594333213"
"10","0.745800741194114","0.745800741194114","0.745800741194114","0.7555105383030404","0.7555105383030404","0.7555105383030404","0.7425393408884075","0.7425393408884075","0.7425393408884075"
"11","0.740559678863951","0.740559678863951","0.740559678863951","0.7486065558667453","0.7486065558667453","0.7486065558667453","0.7366968895002307","0.7366968895002307","0.7366968895002307"
"12","0.7353125080111772","0.7353125080111772","0.7353125080111772","0.7337257441582495","0.7337257441582495","0.7337257441582495","0.7371960359093006","0.7371960359093006","0.7371960359093006"
"13","0.7320845043004","0.7320845043004","0.7320845043004","0.7387934145720109","0.7387934145720109","0.7387934145720109","0.7303009659076344","0.7303009659076344","0.7303009659076344"
"14","0.7218461197062142","0.7218461197062142","0.7218461197062142","0.7331578017650225","0.7331578017650225","0.7331578017650225","0.7264552503653097","0.7264552503653097","0.7264552503653097"
"15","0.7243959772674836","0.7243959772674836","0.7243959772674836","0.7268572111810397","0.7268572111810397","0.7268572111810397","0.718701231958829","0.718701231958829","0.718701231958829"
"16","0.7191908650949805","0.7191908650949805","0.7191908650949805","0.7206155528192935","0.7206155528192935","0.7206155528192935","0.7146429198017074","0.7146429198017074","0.7146429198017074"
"17","0.7137719546311013","0.7137719546311013","0.7137719546311013","0.7210891135311988","0.7210891135311988","0.7210891135311988","0.7135279642156737","0.7135279642156737","0.7135279642156737"
"18","0.7057270804226056","0.7057270804226056","0.7057270804226056","0.7127822738284455","0.7127822738284455","0.7127822738284455","0.7095666373724621","0.7095666373724621","0.7095666373724621"
"19","0.7028796076285634","0.7028796076285634","0.7028796076285634","0.7129504584796709","0.7129504584796709","0.7129504584796709","0.6972774915562192","0.6972774915562192","0.6972774915562192"
"20","0.7004532223358029","0.7004532223358029","0.7004532223358029","0.7025113438269073","0.7025113438269073","0.7025113438269073","0.7080216818505178","0.7080216818505178","0.7080216818505178"
"21","0.6946743095967494","0.6946743095967494","0.6946743095967494","0.7038389460975953","0.7038389460975953","0.7038389460975953","0.6964238505562962","0.6964238505562962","0.6964238505562962"
"22","0.6956596843916633","0.6956596843916633","0.6956596843916633","0.6983235510183808","0.6983235510183808","0.6983235510183808","0.694978584120565","0.694978584120565","0.694978584120565"
"23","0.6940113346140535","0.6940113346140535","0.6940113346140535","0.6940174932065217","0.6940174932065217","0.6940174932065217","0.6962809511830906","0.6962809511830906","0.6962809511830906"
"24","0.6924683818864079","0.6924683818864079","0.6924683818864079","0.6925932060410686","0.6925932060410686","0.6925932060410686","0.6887374765272508","0.6887374765272508","0.6887374765272508"
"25","0.6898355085014612","0.6898355085014612","0.6898355085014612","0.6886193617334906","0.6886193617334906","0.6886193617334906","0.6889778118430835","0.6889778118430835","0.6889778118430835"
"26","0.6853088929674682","0.6853088929674682","0.6853088929674682","0.69440052761613","0.69440052761613","0.69440052761613","0.683886658666171","0.683886658666171","0.683886658666171"
"27","0.6812095735970827","0.6812095735970827","0.6812095735970827","0.6881973729747745","0.6881973729747745","0.6881973729747745","0.682488758315602","0.682488758315602","0.682488758315602"
